"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"SYMBOL"
"MYBL2"	5379.90805914119	-1.08164836686285	0.131423534379786	-8.23024865346503	1.86825223081514e-16	1.31012195472031e-15	"MYBL2"
"NKX2-1"	1095.05841538648	2.49629023146539	0.283693883838209	8.7992388051941	1.37747280615961e-18	1.18319684815488e-17	"NKX2-1"
"SPI1"	1734.83413990344	1.69903619886751	0.132196723122542	12.8523321814306	8.34556892995081e-38	3.6925011045265e-36	"SPI1"
"ERG"	827.429661545366	1.66302706626207	0.120204947374276	13.834930280232	1.56888499035313e-43	1.01608040588993e-41	"ERG"
"EPAS1"	17166.1038089299	2.34709027306505	0.134582849277653	17.4397427730398	4.1192371769182e-68	8.46337523418538e-66	"EPAS1"
"GATA6"	502.975163096378	2.03553806910304	0.145926929132664	13.9490228513787	3.18945177187017e-44	2.1513754876294e-42	"GATA6"
"E2F2"	692.880735207169	-0.940402218652252	0.118438497072792	-7.94000465975418	2.02173658605057e-15	1.2810542883961e-14	"E2F2"
"BRIP1"	760.896094555698	-1.03369847774759	0.117323318123725	-8.8106822606013	1.243864712857e-18	1.07411022909753e-17	"BRIP1"
"HMGA2"	1931.27342216931	-0.300341819510514	0.27133659671582	-1.10689756982937	0.268338216701744	0.31693839193496	"HMGA2"
"HMGA1"	22278.4360644779	-1.08328842822585	0.100449414994679	-10.7844174929564	4.07818814325648e-27	8.02837148245701e-26	"HMGA1"
"PITX1"	5161.87556750209	-2.48423339409357	0.207999127205349	-11.943479895668	7.02225000068047e-33	2.17921386739867e-31	"PITX1"
"IRF8"	1052.88108208531	1.40546191170764	0.155328409004323	9.04832490538499	1.45178243794651e-19	1.37961781383806e-18	"IRF8"
"FOXM1"	4970.26071335577	-1.35271718720604	0.132408768618101	-10.2162205820946	1.67754400457262e-24	2.56510685044786e-23	"FOXM1"
"MITF"	492.690334871008	1.60346241572933	0.10829519338223	14.8064042885992	1.33176332312615e-49	1.19026347004399e-47	"MITF"
"NR3C2"	359.732417733127	1.84550910186176	0.186469848414132	9.89709123248206	4.2855835699333e-23	5.72960406227059e-22	"NR3C2"
"TBX4"	390.468349878652	2.19373409089367	0.185408414132916	11.8319014870653	2.67023354283801e-32	7.96835134861927e-31	"TBX4"
"PRDM16"	254.727347262887	1.6026274099319	0.208703228948997	7.67897755105432	1.6036333185057e-14	9.41686779510164e-14	"PRDM16"
"SCML4"	69.942483315358	0.909210570999607	0.181423288793072	5.01154276856173	5.39953792374141e-07	1.43775868295662e-06	"SCML4"
"TFEC"	422.916025853401	1.18493352766808	0.167048062397354	7.09336888236091	1.30885961826146e-12	6.3266267378106e-12	"TFEC"
"SOX2"	10541.552814375	-2.36889557990538	0.228900451467926	-10.3490210032954	4.22786793531117e-25	6.85781663735818e-24	"SOX2"
"FOXJ1"	653.203115758904	0.776796071904461	0.299914261769375	2.5900604636861	0.00959590759135505	0.0147751639123274	"FOXJ1"
"TWIST1"	484.187351869177	-0.52009227826109	0.209795683589183	-2.47904184377559	0.0131735850646075	0.0198631660084233	"TWIST1"
"NFATC2"	757.229935731538	1.68213951274165	0.146292211202302	11.4984898985188	1.34243519568679e-30	3.49796342899438e-29	"NFATC2"
"BCL6B"	555.790311746557	1.96476160597978	0.108704874125081	18.0742733184073	5.08205065424265e-73	1.29773793492268e-70	"BCL6B"
"TCF21"	250.036686802887	3.73355684351041	0.178035653997818	20.9708379174217	1.21112210015831e-97	1.13941092317525e-94	"TCF21"
"MYRF"	809.215930828569	2.30628919036291	0.173547438015382	13.2890996072123	2.67781070449803e-40	1.42457935544352e-38	"MYRF"
"ETS1"	4830.4271479905	1.49258168375848	0.129030680562358	11.5676494710663	6.01068370712471e-31	1.61080916439062e-29	"ETS1"
"DLX6"	454.549078852629	-1.93038028877736	0.241388976283921	-7.99696953230728	1.27518776338369e-15	8.24077413972651e-15	"DLX6"
