"1B - FS"	"AllB - OR"
"1"	"MYBL2"	4.6627537679832e-09
"2"	"NKX2-1"	6.39512142930439e-05
"3"	"SPI1"	0.000194640684813141
"4"	"ERG"	0.000194640684813141
"5"	"EPAS1"	0.000263000852280483
"6"	"GATA6"	0.000263000852280483
"7"	"E2F2"	0.00138379499953189
"8"	"BRIP1"	0.00162925762519445
"9"	"HMGA2"	0.0016633896306209
"10"	"HMGA1"	0.00174900106482037
"11"	"PITX1"	0.00174900106482037
"12"	"IRF8"	0.0019090580071814
"13"	"FOXM1"	0.0019776115615603
"14"	"MITF"	0.00316711086507037
"15"	"NR3C2"	0.00324010167992037
"16"	"TBX4"	0.00367021505992471
"17"	"PRDM16"	0.00367021505992471
"18"	"SCML4"	0.00367021505992471
"19"	"TFEC"	0.00374516095969251
"20"	"SOX2"	0.00499443820114041
"21"	"FOXJ1"	0.00606987522909217
"22"	"TWIST1"	0.00636279204730317
"23"	"NFATC2"	0.00723792613928383
"24"	"BCL6B"	0.00723792613928383
"25"	"TCF21"	0.00762437681142764
"26"	"MYRF"	0.0156503219238395
"27"	"ETS1"	0.0301527570090855
"28"	"DLX6"	0.0376360151151634
