"Genes"	"regulator"
"TSPAN6"	0
"DPM1"	0
"SCYL3"	0
"C1orf112"	0
"FGR"	0
"CFH"	0
"FUCA2"	0
"GCLC"	0
"NFYA"	1
"STPG1"	0
"NIPAL3"	0
"LAS1L"	0
"ENPP4"	0
"SEMA3F"	0
"CFTR"	0
"ANKIB1"	0
"CYP51A1"	0
"KRIT1"	0
"RAD52"	0
"MYH16"	0
"BAD"	0
"LAP3"	0
"CD99"	0
"HS3ST1"	0
"AOC1"	0
"HECW1"	0
"MAD1L1"	0
"LASP1"	0
"SNX11"	0
"TMEM176A"	0
"M6PR"	0
"KLHL13"	0
"CYP26B1"	0
"ICA1"	0
"DBNDD1"	0
"ALS2"	0
"CASP10"	0
"CFLAR"	0
"TFPI"	0
"NDUFAF7"	0
"RBM5"	0
"MTMR7"	0
"SLC7A2"	0
"ARF5"	0
"SARM1"	0
"POLDIP2"	0
"PLXND1"	0
"AK2"	0
"CD38"	0
"FKBP4"	0
"KDM1A"	0
"RBM6"	0
"CAMKK1"	0
"RECQL"	0
"VPS50"	0
"HSPB6"	0
"ARHGAP33"	0
"NDUFAB1"	0
"PDK4"	0
"ZMYND10"	0
"SLC25A13"	0
"ST7"	0
"CDC27"	0
"HCCS"	0
"DVL2"	0
"PRSS22"	0
"UPF1"	0
"SKAP2"	0
"SLC25A5"	0
"MCUB"	0
"POLR2J"	0
"DHX33"	0
"MEOX1"	1
"THSD7A"	0
"LIG3"	0
"RPAP3"	0
"ACSM3"	0
"REXO5"	0
"CIAPIN1"	0
"SPPL2B"	0
"FAM214B"	0
"COPZ2"	0
"PRKAR2B"	0
"MSL3"	0
"CREBBP"	1
"TSPOAP1"	0
"GCFC2"	1
"WDR54"	0
"CROT"	0
"ABCB4"	0
"KMT2E"	0
"RHBDD2"	0
"IBTK"	0
"ZNF195"	1
"MYCBP2"	0
"FBXL3"	0
"ITGAL"	0
"PDK2"	0
"ITGA3"	0
"ZFX"	1
"LAMP2"	0
"ITGA2B"	0
"GDE1"	0
"REX1BD"	0
"CRLF1"	0
"OSBPL7"	0
"TMEM98"	0
"YBX2"	1
"MAP3K14"	0
"TMEM132A"	0
"AP2B1"	0
"ZNF263"	1
"CX3CL1"	0
"SPATA20"	0
"CACNA1G"	0
"TNFRSF12A"	0
"DLX6"	1
"MAP3K9"	0
"RALA"	0
"BAIAP2L1"	0
"KDM7A"	0
"ETV1"	1
"AGK"	0
"ALDH3B1"	0
"TTC22"	0
"PHTF2"	1
"CCL26"	0
"FARP2"	0
"GGCT"	0
"DBF4"	0
"TBXA2R"	0
"IFRD1"	0
"COX10"	0
"GTF2IRD1"	0
"PAF1"	0
"VPS41"	0
"ARHGAP44"	0
"ELAC2"	0
"SCIN"	0
"ARSD"	0
"PNPLA4"	0
"ADIPOR2"	0
"CDKL3"	0
"PRSS21"	0
"MARK4"	0
"PROM1"	0
"CCDC124"	0
"CEACAM21"	0
"PAFAH1B1"	0
"NOS2"	0
"DNAH9"	0
"KIAA0100"	0
"GAS7"	0
"TRAPPC6A"	0
"MATK"	0
"CD79B"	0
"ST7L"	0
"PAX6"	1
"RPUSD1"	0
"RHBDF1"	0
"LUC7L"	0
"CACNA2D2"	0
"BAIAP3"	0
"TSR3"	0
"PIGQ"	0
"CRAMP1"	0
"TEAD3"	1
"SELE"	0
"DNAJC11"	0
"FMO3"	0
"MYLIP"	0
"NOX1"	0
"E2F2"	1
"PSMB1"	0
"SYN1"	0
"JARID2"	1
"CDKL5"	0
"CAMK1G"	0
"CDK11A"	0
"NADK"	0
"DLEC1"	0
"CYTH3"	0
"ADAM22"	0
"SYPL1"	0
"CYB561"	0
"SPAG9"	0
"CELSR3"	0
"AASS"	0
"PLEKHG6"	0
"SS18L2"	0
"MPND"	0
"MGST1"	0
"CRY1"	0
"NFIX"	1
"ST3GAL1"	0
"MMP25"	0
"IL32"	0
"PKD1"	0
"MAPK8IP2"	0
"MED24"	0
"RHOBTB2"	0
"HEATR5B"	0
"SEC62"	0
"RPS20"	0
"CSDE1"	0
"UBE3C"	0
"REV3L"	0
"TENM1"	0
"MASP2"	0
"FAM76A"	0
"TRAF3IP3"	0
"POMT2"	0
"VTA1"	0
"MLXIPL"	1
"BAZ1B"	0
"RANBP9"	0
"ETV7"	1
"SPRTN"	0
"EEF1AKNMT"	0
"DYRK4"	0
"ZNF207"	1
"UQCRC1"	0
"STARD3NL"	0
"CD9"	0
"NCAPD2"	0
"IFFO1"	0
"GIPR"	0
"PHF7"	1
"SEMA3G"	0
"NISCH"	0
"STAB1"	0
"FUZ"	0
"IDS"	0
"ZNF200"	1
"CD4"	0
"LRRC23"	0
"BTK"	0
"HFE"	0
"SCMH1"	0
"FYN"	0
"HIVEP2"	1
"FMO1"	0
"ELOA"	0
"LYPLA2"	0
"CLCN6"	0
"MRC2"	0
"NME1-NME2"	0
"TSPAN9"	0
"BTBD7"	0
"APBA3"	0
"MKS1"	0
"ABHD5"	0
"ANOS1"	0
