File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
5990ca88-71a9-4ec3-b9b7-cf7a8c939ee4	890494a7-cfed-413e-97e9-2ccf0257d94a.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-91-6831	TCGA-91-6831-11A	Solid Tissue Normal
c472acc1-752f-4395-8474-cf848caf10ba	a059cf08-5046-4a79-a82f-c07da2955035.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-91-A4BD	TCGA-91-A4BD-01A	Primary Tumor
2bcbceab-c00f-40cc-a294-2a8fb63f3ead	9bc59130-b619-4ac7-a87e-7342786311d0.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-L9-A5IP	TCGA-L9-A5IP-01A	Primary Tumor
5ff00368-bf50-4d62-9204-d2b801eea88d	90af0faf-3e8c-4741-bf49-f87a5b21d54c.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-67-3771	TCGA-67-3771-01A	Primary Tumor
7c4e140a-c632-4324-944d-eab7e3c87542	cc54e123-c06a-48a8-b864-7497ecb37c0b.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-44-A47G	TCGA-44-A47G-01A	Primary Tumor
c2a2198e-46e3-46ac-84d7-152eb2803643	06b1bbf5-07e5-4a03-aea1-f7203bab2572.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-55-A4DG	TCGA-55-A4DG-01A	Primary Tumor
e518befa-bfb3-4e14-bcaf-b34100140eb5	f9ea29ab-6953-4646-b367-cff2483b9f46.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-91-7771	TCGA-91-7771-01A	Primary Tumor
7ed5c3fe-5e5b-45ed-b873-5c333f641422	16c42b24-fcaf-43e2-8f52-d7488f82257b.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-91-6849	TCGA-91-6849-01A	Primary Tumor
8d416f21-90e1-4f28-a9a5-f500b4be84c8	2409ea25-afdc-4084-8896-827f54ddce19.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-LUAD	TCGA-78-7155	TCGA-78-7155-01A	Primary Tumor
6109b59d-2d4c-421a-b6bb-1bffd5033e31	7b838017-fe03-4770-9fb7-febbbbf1f4d8.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-LUAD	TCGA-55-7283	TCGA-55-7283-01A	Primary Tumor
e121bcd2-6561-43d5-acc7-13c4a2317445	457eb90d-9827-4986-bcc1-053d0a4d43b1.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-LUAD	TCGA-50-5935	TCGA-50-5935-01A	Primary Tumor
b10e8b6e-325f-4701-81ae-64a5e4eb7ce9	c71da743-de94-46d0-9ec0-fed1574845b9.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-78-7149	TCGA-78-7149-01A	Primary Tumor
4047d019-8b33-4637-9a8a-89fe0f205bb9	3ec4c0b1-2874-4bb2-9777-a33c986d3a07.mirbase21.mirnas.quantification.txt	Transcriptome Profiling	miRNA Expression Quantification	TCGA-LUAD	TCGA-NJ-A7XG	TCGA-NJ-A7XG-01A	Primary Tumor
