desc	abraw_cs	abGrupo
ANTHELMINTIC_AGENT	ab-1	abGRUPO 2
ANTIAMYLOIDOGENIC_AGENT	ab-1	abGRUPO 1
ATM_KINASE_INHIBITOR	ab-1	abGRUPO 1
ATR_KINASE_INHIBITOR	ab-1	abGRUPO 1
ATR_KINASE_INHIBITOR	ab-1	abGRUPO 2
BENZODIAZEPINE_RECEPTOR_ANTAGONIST	ab-0.99	abGRUPO 2
BIOCARTA_RAB_PATHWAY	ab-1	abGRUPO 2
CELL_CYCLE_INHIBITOR	ab-1	abGRUPO 3
CHK_INHIBITOR	ab-1	abGRUPO 3
CP_CDK_INHIBITOR	ab-1	abGRUPO 3
CP_GAMMA_SECRETASE_INHIBITOR	ab-1	abGRUPO 1
CP_GAMMA_SECRETASE_INHIBITOR	ab-0.99	abGRUPO 2
CP_IGF_1_INHIBITOR	ab-0.99	abGRUPO 2
CP_LEUCINE_RICH_REPEAT_KINASE_INHIBITOR	ab-1	abGRUPO 1
CP_MEK_INHIBITOR	ab-1	abGRUPO 3
CP_NFKB_PATHWAY_INHIBITOR	ab-1	abGRUPO 1
DNA_DEPENDENT_PROTEIN_KINASE_INHIBITOR	ab-1	abGRUPO 3
GAT_INHIBITOR	ab-1	abGRUPO 3
HEPATOCYTE_GROWTH_FACTOR_RECEPTOR_INHIBITOR	ab-0.99	abGRUPO 2
IGF-1_INHIBITOR	ab-0.99	abGRUPO 2
INOSITOL_MONOPHOSPHATASE_INHIBITOR	ab-1	abGRUPO 3
LXR_AGONIST	ab-1	abGRUPO 1
METALLOPROTEINASE_INHIBITOR	ab-1	abGRUPO 3
MICROTUBULE_INHIBITOR	ab-1	abGRUPO 2
OE_TARGETS_OF_VEGFR_INHIBITORS	ab-1	abGRUPO 2
PROTEIN_PHOSPHATASE_INHIBITOR	ab-1	abGRUPO 3
REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION	ab-1	abGRUPO 1
RNA_SYNTHESIS_INHIBITOR	ab-1	abGRUPO 1
TGF_BETA_RECEPTOR_INHIBITOR	ab-1	abGRUPO 3
VESICULAR_MONOAMINE_TRANSPORTER_INHIBITOR	ab-1	abGRUPO 1
