desc	abraw_cs	abGrupo
T-TYPE_CALCIUM_CHANNEL_BLOCKER	ab-1	abGRUPO 1
HSP_INDUCER	ab-1	abGRUPO 1
KD_TOLL_LIKE_RECEPTORS	ab-1	abGRUPO 1
HISTONE_DEMETHYLASE_INHIBITOR	ab-1	abGRUPO 1
CP_HMGCR_INHIBITOR	ab-1	abGRUPO 1
THROMBOXANE_SYNTHASE_INHIBITOR	ab-1	abGRUPO 1
CATHEPSIN_INHIBITOR	ab-1	abGRUPO 1
CP_PARP_INHIBITOR	ab-1	abGRUPO 1
FREE_RADICAL_SCAVENGER	ab-1	abGRUPO 1
LEUCINE_RICH_REPEAT_KINASE_INHIBITOR	ab-1	abGRUPO 1
CP_LEUCINE_RICH_REPEAT_KINASE_INHIBITOR	ab-0.92	abGRUPO 2
SELECTIVE_SEROTONIN_REUPTAKE_INHIBITOR_(SSRI)	ab-0.89	abGRUPO 2
KD_MITOGEN_ACTIVATED_PROTEIN_KINASES	ab-0.88	abGRUPO 2
MEMBRANE_PERMEABILITY_INHIBITOR	ab-0.85	abGRUPO 2
NUCLEOSIDE_REVERSE_TRANSCRIPTASE_INHIBITOR	ab-0.83	abGRUPO 2
DIURETIC	ab-0.79	abGRUPO 2
KD_PI3K_SIGNALING	ab-0.78	abGRUPO 2
PROGESTERONE_RECEPTOR_ANTAGONIST	ab-0.78	abGRUPO 2
REACTOME_REGULATION_OF_THE_FANCONI_ANEMIA_PATHWAY	ab-0.77	abGRUPO 2
LEUCINE_RICH_REPEAT_KINASE_INHIBITOR	ab-0.77	abGRUPO 2
CP_ANDROGEN_RECEPTOR_MODULATOR	ab-1	abGRUPO 3
STAT_INHIBITOR	ab-1	abGRUPO 3
OREXIN_RECEPTOR_ANTAGONIST	ab-1	abGRUPO 3
BIOCARTA_SARS_PATHWAY	ab-1	abGRUPO 3
IGF-1_INHIBITOR	ab-1	abGRUPO 3
BIOCARTA_EIF_PATHWAY	ab-1	abGRUPO 3
REACTOME_BINDING_AND_ENTRY_OF_HIV_VIRION	ab-1	abGRUPO 3
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL	ab-1	abGRUPO 3
PID_INTEGRIN5_PATHWAY	ab-1	abGRUPO 3
ATP_CHANNEL_BLOCKER	ab-1	abGRUPO 3
