id	abset_type	abset_size	absrc_set_size	abnum_hiq_sig	abpct_hiq_sig	abnum_uniq_pert	abpct_src_pert	absrc_set_id	abcell_iname	abpert_type	abis_filtered_set	abdesc	abraw_cs	abfdr_q_nlog10	abnorm_cs	abGrupo
T-TYPE_CALCIUM_CHANNEL_BLOCKER:MCF10A:TRT_CP	abMOA_CLASS	ab3.00	ab6.00	ab2.00	ab66.67	ab3.00	ab50.00	abT-TYPE_CALCIUM_CHANNEL_BLOCKER	abMCF10A	abTRT_CP	abTRUE	abT-TYPE_CALCIUM_CHANNEL_BLOCKER:MCF10A:trt_cp	ab-1.00	ab0.23	ab-1.18	abGRUPO 1
HSP_INDUCER:HA1E:TRT_CP	abMOA_CLASS	ab3.00	ab4.00	ab2.00	ab66.67	ab3.00	ab75.00	abHSP_INDUCER	abHA1E	abTRT_CP	abTRUE	abHSP_INDUCER:HA1E:trt_cp	ab-1.00	ab0.23	ab-1.18	abGRUPO 1
KD_TOLL_LIKE_RECEPTORS:HCC515:TRT_SH.CGS	abPCL	ab3.00	ab3.00	ab2.00	ab66.67	ab3.00	ab100.00	abKD_TOLL_LIKE_RECEPTORS	abHCC515	abTRT_SH.CGS	abTRUE	abKD_TOLL_LIKE_RECEPTORS:HCC515:trt_sh.cgs	ab-1.00	ab0.23	ab-1.18	abGRUPO 1
HISTONE_DEMETHYLASE_INHIBITOR:HEK293:TRT_CP	abMOA_CLASS	ab3.00	ab5.00	ab2.00	ab66.67	ab3.00	ab60.00	abHISTONE_DEMETHYLASE_INHIBITOR	abHEK293	abTRT_CP	abTRUE	abHISTONE_DEMETHYLASE_INHIBITOR:HEK293:trt_cp	ab-1.00	ab0.23	ab-1.19	abGRUPO 1
CP_HMGCR_INHIBITOR:HELA:TRT_CP	abPCL	ab4.00	ab8.00	ab4.00	ab100.00	ab4.00	ab50.00	abCP_HMGCR_INHIBITOR	abHELA	abTRT_CP	abTRUE	abCP_HMGCR_INHIBITOR:HELA:trt_cp	ab-1.00	ab0.23	ab-1.24	abGRUPO 1
THROMBOXANE_SYNTHASE_INHIBITOR:YAPC:TRT_CP	abMOA_CLASS	ab4.00	ab8.00	ab3.00	ab75.00	ab4.00	ab50.00	abTHROMBOXANE_SYNTHASE_INHIBITOR	abYAPC	abTRT_CP	abTRUE	abTHROMBOXANE_SYNTHASE_INHIBITOR:YAPC:trt_cp	ab-1.00	ab0.23	ab-1.24	abGRUPO 1
CATHEPSIN_INHIBITOR:PC3:TRT_CP	abMOA_CLASS	ab4.00	ab9.00	ab3.00	ab75.00	ab4.00	ab44.44	abCATHEPSIN_INHIBITOR	abPC3	abTRT_CP	abTRUE	abCATHEPSIN_INHIBITOR:PC3:trt_cp	ab-1.00	ab0.23	ab-1.24	abGRUPO 1
CP_PARP_INHIBITOR:U937:TRT_CP	abPCL	ab4.00	ab7.00	ab3.00	ab75.00	ab4.00	ab57.14	abCP_PARP_INHIBITOR	abU937	abTRT_CP	abTRUE	abCP_PARP_INHIBITOR:U937:trt_cp	ab-1.00	ab0.23	ab-1.24	abGRUPO 1
FREE_RADICAL_SCAVENGER:HT29:TRT_CP	abMOA_CLASS	ab4.00	ab8.00	ab2.00	ab50.00	ab4.00	ab50.00	abFREE_RADICAL_SCAVENGER	abHT29	abTRT_CP	abTRUE	abFREE_RADICAL_SCAVENGER:HT29:trt_cp	ab-1.00	ab0.23	ab-1.24	abGRUPO 1
LEUCINE_RICH_REPEAT_KINASE_INHIBITOR:MCF7:TRT_CP	abMOA_CLASS	ab4.00	ab5.00	ab4.00	ab100.00	ab3.00	ab60.00	abLEUCINE_RICH_REPEAT_KINASE_INHIBITOR	abMCF7	abTRT_CP	abTRUE	abLEUCINE_RICH_REPEAT_KINASE_INHIBITOR:MCF7:trt_cp	ab-1.00	ab0.23	ab-1.25	abGRUPO 1
