"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL"
"ENSG00000048462",170.95374519976,2.40768562394031,0.158733997004163,15.1680526502283,5.75593333757274e-52,1.28609135511391e-48,"TNFRSF17"
"ENSG00000105369",1473.83468835086,2.03913451206368,0.167790875918535,12.1528331078843,5.54115684649431e-34,1.83422553020529e-31,"CD79A"
"ENSG00000132465",22601.4580219533,2.14398209075044,0.181222550335159,11.8306584185317,2.71007591037604e-32,7.68930268221772e-30,"IGJ"
"ENSG00000137441",1275.5085251273,-2.65117294775631,0.323795322687448,-8.18780495577271,2.66033492144395e-16,1.19782082420178e-14,"FGFBP2"
"ENSG00000143556",5570.44721537141,2.53597185510115,0.322009670097011,7.875452480471,3.39511896757326e-15,1.35162030167866e-13,"S100A7"
"ENSG00000164266",152.933564033787,2.00718342382245,0.208745714664199,9.61544732571554,6.88096048531898e-22,5.66807228917405e-20,"SPINK1"
"ENSG00000170476",2533.14254919393,2.24066824141042,0.16165411012452,13.8608801204279,1.09325488247994e-43,1.22137068902056e-40,"MZB1"
"ENSG00000172724",1452.1033301851,2.46215819335509,0.196436848974431,12.5340953401038,4.8587415171344e-36,2.22692319535326e-33,"CCL19"
"ENSG00000211592",220971.550131673,2.36890176041376,0.170238169741796,13.9152210341942,5.12014052095631e-44,6.53732227229243e-41,"IGKC"
"ENSG00000211598",15035.744816466,2.29336649829228,0.187641771473416,12.2220467238404,2.37040640033563e-34,8.47420288119988e-32,"IGKV4-1"
"ENSG00000211599",249.700591604448,2.55785363728801,0.24249145052537,10.5482219342014,5.17674632015403e-26,6.56271918246477e-24,"IGKV5-2"
"ENSG00000211611",424.871805484018,2.37410614237395,0.241104934862153,9.84677540395971,7.07783802876322e-23,6.48801819303295e-21,"IGKV6-21"
"ENSG00000211625",743.262057994709,2.56830321544114,0.211210451651087,12.1599248302537,5.08054173936862e-34,1.71348459606064e-31,"IGKV3D-20"
"ENSG00000211632",239.662584586205,2.33694586436858,0.188517951420318,12.3964102450813,2.73295022192356e-35,1.16313060040199e-32,"IGKV3D-11"
"ENSG00000211637",1953.4366493622,2.02580033718656,0.201621433813685,10.0475445435954,9.41849613396394e-24,9.40534180975449e-22,"IGLV4-69"
"ENSG00000211638",1557.39206622933,2.45874404942367,0.236397515550377,10.4008878591607,2.45633687699101e-25,2.86973997883753e-23,"IGLV8-61"
"ENSG00000211640",3921.08713289215,2.47816574269789,0.195421169969916,12.6811529328137,7.52172682087456e-37,4.07426869464039e-34,"IGLV6-57"
"ENSG00000211644",5165.70453869951,2.06382057289664,0.185473528383515,11.1273052865482,9.23862749349904e-29,1.6033054994786e-26,"IGLV1-51"
"ENSG00000211648",3592.89922923851,2.0405340345151,0.189306109729106,10.7790183710133,4.3247620286597e-27,6.2342839727655e-25,"IGLV1-47"
"ENSG00000211650",717.375936250499,2.75799380648459,0.229748448482419,12.004406666083,3.36871147555087e-33,9.87142911892981e-31,"IGLV5-45"
"ENSG00000211651",4784.04905954123,2.15645937304228,0.189420669342719,11.384498748342,4.99546600374664e-30,9.92155053521901e-28,"IGLV1-44"
"ENSG00000211653",8151.96496144494,2.13674447843624,0.187307417978324,11.4076874343733,3.82770603452988e-30,7.84978414283626e-28,"IGLV1-40"
"ENSG00000211659",5765.80382938301,2.35568867944985,0.185363441790799,12.7084858626465,5.30517088128528e-37,2.96343529696795e-34,"IGLV3-25"
"ENSG00000211660",6688.57516349323,2.37536744972171,0.185462812049544,12.8077829914881,1.48311648179015e-37,8.83690237066628e-35,"IGLV2-23"
"ENSG00000211662",12482.1003806046,2.57895678803269,0.191843676025983,13.4430117346344,3.38379129617314e-41,3.02426347095475e-38,"IGLV3-21"
"ENSG00000211663",6313.88094133827,2.50396793268112,0.189696256266111,13.1998805984262,8.78742279505379e-40,6.18607682165634e-37,"IGLV3-19"
"ENSG00000211664",338.967685323076,2.22448478074578,0.220656271713519,10.0812216370349,6.68892462839684e-24,6.79343907571554e-22,"IGLV2-18"
"ENSG00000211666",8002.77362664751,2.44165726446348,0.182863446907309,13.3523528390074,1.14765893461627e-40,9.32472884375716e-38,"IGLV2-14"
"ENSG00000211668",4302.63506623346,2.32650902273959,0.197627173087794,11.7722122235998,5.42820993209152e-32,1.44819779904681e-29,"IGLV2-11"
"ENSG00000211669",2721.82763766289,2.27570845174098,0.21869120506184,10.4060355380888,2.32711994605743e-25,2.73666243656424e-23,"IGLV3-10"
"ENSG00000211670",1414.36881098909,2.63675421536582,0.223667805624278,11.7887069531817,4.46341082278192e-32,1.22743797626503e-29,"IGLV3-9"
"ENSG00000211673",3315.55526950674,2.41404249032964,0.187160018511717,12.898280891004,4.60250201426061e-38,2.93820441088958e-35,"IGLV3-1"
"ENSG00000211677",21664.7468908807,2.17595396368563,0.163290595824068,13.3256538914834,1.64187878805046e-40,1.27602536245226e-37,"IGLC2"
"ENSG00000211679",14035.8440676455,2.17556868348799,0.174416969828628,12.4733773647459,1.04309441440907e-35,4.54763723355174e-33,"IGLC3"
"ENSG00000211685",587.978746717547,2.26987046923942,0.230589295923026,9.84378073645333,7.29179709149159e-23,6.61628797007168e-21,"IGLC7"
"ENSG00000211890",16479.4501999354,2.05925780512455,0.197020413434152,10.4520022531208,1.43463958856279e-25,1.75645086613423e-23,"IGHA2"
"ENSG00000211892",35845.6497880711,2.1642173932398,0.218915585799673,9.88608182160335,4.7838641111777e-23,4.40781293748976e-21,"IGHG4"
