"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL"
"ENSG00000006016",6143.8072410706,2.87256066462032,0.606258145367911,4.73818073467217,2.15645443766348e-06,5.73339502925573e-05,"CRLF1"
"ENSG00000006047",204.686627619892,2.28610233335437,0.46339363778194,4.93339171486456,8.08138533148713e-07,2.62819638036743e-05,"YBX2"
"ENSG00000008300",733.067813976687,2.00724470094075,0.307596804910272,6.52557071106859,6.77430889733976e-11,1.58563396019443e-08,"CELSR3"
"ENSG00000019102",1946.74825571675,-2.06422379197287,0.399507236141892,-5.16692466426247,2.37977126482871e-07,1.00397803785202e-05,"VSIG2"
"ENSG00000019186",3571.24236040728,2.01022054287,0.551286545618236,3.64641683866174,0.000265922483958316,0.00240248606761528,"CYP24A1"
"ENSG00000021826",14005.9253689283,2.16513572957629,0.839542371737225,2.57894753435265,0.00991018370008644,0.0374930365463287,"CPS1"
"ENSG00000023839",849.955025468234,3.23085133084796,0.625366641816292,5.16633142033991,2.38733323970658e-07,1.00397803785202e-05,"ABCC2"
"ENSG00000066405",10730.9272297543,-4.15084044940032,0.606239168599972,-6.84686946075447,7.54835367551213e-12,2.74036048027929e-09,"CLDN18"
"ENSG00000074211",482.228088517991,2.43548354591716,0.559769502852653,4.35086858699097,1.35599306251215e-05,0.000244890970446991,"PPP2R2C"
"ENSG00000078081",9838.4367237232,-2.10297960613017,0.358376173367752,-5.8680787463294,4.40873867451733e-09,4.19396001502614e-07,"LAMP3"
"ENSG00000090382",33751.2795425041,-2.15793840971946,0.315070795383004,-6.8490588189751,7.43374300053158e-12,2.74036048027929e-09,"LYZ"
"ENSG00000094755",694.023635700306,-2.96671701944546,0.58757387194472,-5.0490962261926,4.4390511115232e-07,1.67458222913815e-05,"GABRP"
"ENSG00000096088",19159.8253570531,-3.09694001625405,0.641536431163141,-4.82737981167979,1.38341127035443e-06,4.09475924930698e-05,"PGC"
"ENSG00000104140",1970.23239823285,2.70484741007503,0.463833310748828,5.83150745622006,5.49288568382822e-09,5.01092017587796e-07,"RHOV"
"ENSG00000104760",1139.68099952094,3.08482358557644,0.649097240099268,4.75248297944491,2.00933689410426e-06,5.47906479186096e-05,"FGL1"
"ENSG00000106178",115.407529345699,-2.37874429268575,0.436810135430947,-5.44571679944865,5.15971746562127e-08,2.98007188298496e-06,"CCL24"
"ENSG00000110848",883.596196889092,-2.05444291435757,0.297000846451739,-6.91729649562263,4.60343975898443e-12,1.949775949347e-09,"CD69"
"ENSG00000111432",379.829434286478,3.4498536388886,0.501748853014298,6.87565824647793,6.17042669308897e-12,2.48231520025619e-09,"FZD10"
"ENSG00000114270",1314.00099829944,2.39649110574953,0.409830466595755,5.8475181839357,4.98961307664101e-09,4.59897549328326e-07,"COL7A1"
"ENSG00000114279",231.637627203027,2.82837215509952,0.461242909427134,6.13206641726455,8.67448723081246e-10,1.16022897254829e-07,"FGF12"
"ENSG00000114771",394.826617304349,-2.36705722573594,0.496056477151535,-4.77174945749747,1.82632599396665e-06,5.10023753636934e-05,"AADAC"
"ENSG00000118526",763.13915520897,-2.25780206451685,0.357588647337955,-6.31396461080325,2.71976158160945e-10,4.79028106685649e-08,"TCF21"
"ENSG00000118729",82.0437258645118,-2.03953670669574,0.337895322723489,-6.03600159438951,1.57979692269519e-09,1.79000047502068e-07,"CASQ2"
"ENSG00000119457",401.559008459465,-2.02617835287422,0.466465383435444,-4.34368427931723,1.40112840422428e-05,0.000251256786116388,"SLC46A2"
